hash,level,moves,health,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5
0,0,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
4,4,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
5,5,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
6,6,8,1,start,grass,grass,,,,grass,endClosed,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,,gem,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,
7,7,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,gem,gem,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
8,8,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,boulder,gem,gem,,,,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,
10,10,10,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,boulder,gem,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
11,11,6,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,gem,boulder,gem,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,
12,12,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,boulder,boulder,gem,,,,hammer,boulder,,,,,,,,,,,,,,,,,,,,,,
13,13,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,,boulder,,,,,hammer,,,,,,,,,,,,,,,,,,,,,,
14,14,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,hammer,boulder,boulder,,,,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,
15,15,7,1,start,grass,grass,,,,grass,grass,grass,,,,grass,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,hammer,boulder,gem,,,,boulder,,gem,,,,,,,,,,,,,,,,,,,,,
16,16,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,hammer,boulder,boulder,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
17,17,6,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,hammer,boulder,gem,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,
18,18,8,1,endClosed,grass,grass,,,,grass,start,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,boulder,,gem,,,,gem,gem,hammer,,,,,,,,,,,,,,,,,,,,,
19,19,8,1,start,marsh,grass,,,,grass,grass,grass,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
20,20,7,1,start,marsh,marsh,,,,marsh,endClosed,grass,,,,marsh,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,
21,21,10,1,start,marsh,grass,,,,grass,marsh,marsh,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
22,22,11,1,grass,marsh,marsh,,,,grass,marsh,marsh,,,,start,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,gem,,gem,,,,gem,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
23,23,12,1,start,marsh,grass,,,,marsh,endClosed,marsh,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,gem,,gem,,,,,,,,,,,,,,,,,,,,,
24,24,11,1,start,grass,grass,,,,grass,marsh,grass,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,boulder,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
25,25,6,1,start,grass,grass,,,,grass,marsh,grass,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,hammer,,gem,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,
26,26,10,1,start,marsh,grass,,,,marsh,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,hammer,,,,,gem,boulder,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
27,27,7,1,start,grass,grass,,,,grass,marsh,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,gem,,gem,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,
28,28,8,1,marsh,grass,marsh,,,,grass,start,grass,,,,marsh,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,,gem,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
29,29,10,1,start,grass,grass,,,,grass,grass,marsh,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,boulder,boulder,gem,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
30,30,13,1,start,marsh,marsh,,,,grass,marsh,marsh,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,boulder,gem,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,
31,31,11,1,start,marsh,endClosed,,,,grass,marsh,grass,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,boulder,gem,boulder,,,,boulder,gem,boulder,,,,,,,,,,,,,,,,,,,,,
32,32,11,1,start,marsh,grass,,,,marsh,marsh,grass,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,boulder,boulder,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,
33,33,11,1,start,marsh,grass,,,,endClosed,grass,grass,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,boulder,boulder,,,,hammer,,gem,,,,,,,,,,,,,,,,,,,,,
34,34,4,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,boulder,boulder,warp,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,
35,35,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,gem,boulder,warp,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
36,36,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,warp,,,,gem,boulder,gem,,,,warp,boulder,,,,,,,,,,,,,,,,,,,,,,
37,37,9,1,start,grass,grass,,,,grass,endClosed,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,,warp,,,,warp,boulder,gem,,,,,,,,,,,,,,,,,,,,,
